group;team;code;Bet 365;Sky Bet;Ladbrokes;William Hill;Marathon Bet;Betfair Sportsbook;SunBets;Paddy Power;Unibet;Coral;Betfred;Boylesports;Black Type;Betstars;Betway;10Bet;Sportingbet;188Bet;888sport;Bet Victor;Sportpesa;Spreadex
A;Egypt;EGY;150;150;150;150;200;150;150;150;150;125;150;150;150;150;200;150;200;200;150;150;150;150
A;Russia;RUS;40;40;40;50;40;40;40;40;32;33;33;40;40;50;40;40;40;40;32;40;40;50
A;Saudi Arabia;KSA;1000;1000;1000;1000;1000;500;1000;500;1000;1000;1000;1000;1000;500;1000;750;1000;1500;1000;2000;750;1000
A;Uruguay;URU;33;28;25;25;33;33;28;33;33;28;25;28;28;33;25;33;33;35;33;33;33;33
B;Iran;IRN;500;750;500;500;500;500;500;500;450;500;500;500;500;300;500;500;500;500;450;500;500;750
B;Morocco;MAR;500;250;250;300;400;325;500;325;300;250;500;400;500;300;500;400;400;500;300;500;400;750
B;Portugal;POR;25;25;25;25;25;20;22;20;22;25;25;25;25;22;25;25;22;25;22;25;25;28
B;Spain;ESP;6;6;6;6;5.5;5.5;5;5.5;6;6;6.5;6;5.5;6;6.5;6;6;6.5;6;6;6;6.5
C;Australia;AUS;300;500;500;500;400;275;300;275;400;500;500;500;250;500;300;300;300;750;400;500;300;500
C;Denmark;DEN;100;100;80;100;80;80;100;80;100;80;100;80;80;80;100;100;100;100;100;100;100;100
C;France;FRA;6.5;6;6;5.5;5.5;6;5.5;6;7;6;5.5;6;6.5;6.5;6.5;6;6.5;6.5;7;6;6;6.5
C;Peru;PER;200;250;150;200;200;200;150;200;150;200;200;200;200;150;150;200;150;250;150;250;200;250
D;Argentina;ARG;9;9;9;9;9;9;9;9;11;9;9;9;9;9;10;9;9;10;11;9;9;11
D;Croatia;CRO;33;33;33;28;33;33;33;33;30;33;33;33;33;33;33;33;33;40;30;33;33;40
D;Iceland;ISL;200;250;150;250;200;200;200;200;200;125;200;200;200;250;200;175;200;200;200;250;175;300
D;Nigeria;NGA;200;250;150;150;200;200;150;200;200;200;150;150;200;250;200;200;200;200;200;200;200;250
E;Brazil;BRA;4;4.5;4.5;4.5;4;4.5;4.5;4.5;4;4.5;4.5;4.5;4;4;4.5;4.5;4;4.6;4;4.5;4.5;4.5
E;Costa Rica;CRC;500;750;250;300;300;500;400;500;450;250;400;500;500;500;500;500;400;500;450;500;500;750
E;Serbia;SRB;200;200;150;150;150;125;150;125;100;125;100;150;150;200;150;200;200;150;100;200;200;250
E;Switzerland;SUI;100;100;100;100;100;100;80;100;100;100;80;80;80;100;100;100;100;100;100;100;100;150
F;Germany;GER;4.5;4.5;4.5;4.5;4.5;4.5;4.5;4.5;5;4.5;4.5;4.5;4.5;4.75;4.5;4.1;4.5;4.6;5;4.5;4.1;5
F;Mexico;MEX;100;100;80;100;100;100;80;100;100;66;80;100;100;100;100;100;125;100;100;100;100;100
F;South Korea;KOR;750;250;250;300;400;500;500;500;600;250;400;500;500;250;500;400;500;750;600;500;400;750
F;Sweden;SWE;150;150;80;150;125;150;100;150;100;100;80;150;100;150;125;150;150;100;100;150;150;200
G;Belgium;BEL;11;10;10;11;11;10;10;10;11;10;10;11;11;10;11;11;12;12;11;10;11;11
G;England;ENG;18;16;14;16;16;16;16;16;17;14;16;16;16;14;16;16;18;18;17;16;16;20
G;Panama;PAN;1000;1000;1000;1000;1000;500;1000;500;1000;1000;1000;1000;1000;500;1000;1000;1000;1500;1000;2000;1000;1000
G;Tunisia;TUN;750;1000;500;750;500;500;500;500;450;500;500;500;500;300;750;750;750;750;450;1000;750;1000
H;Colombia;COL;40;40;33;33;33;33;33;33;40;33;28;40;33;40;50;40;40;40;40;40;40;50
H;Japan;JPN;300;200;150;250;200;250;250;250;300;200;200;200;250;150;300;250;300;300;300;200;250;500
H;Poland;POL;50;66;40;50;40;50;40;50;70;33;40;50;50;66;66;66;66;50;70;66;66;80
H;Senegal;SEN;200;150;125;150;150;200;150;200;150;150;150;150;150;200;125;175;150;150;150;200;175;300
