group;team;code;Bet 365;Sky Bet;Ladbrokes;William Hill;Marathon Bet;Betfair Sportsbook;SunBets;Paddy Power;Unibet;Coral;Betfred;Boylesports;Black Type;Betstars;Betway;BetBright;10Bet;Sportingbet;188Bet;888sport;Bet Victor;Sportpesa;Spreadex;Royal Panda
A;Egypt;EGY;200;200;150;150;200;200;150;200;150;250;250;150;125;200;200;150;150;150;200;150;150;150;300;200
A;Russia;RUS;40;66;40;50;50;50;40;50;40;66;66;50;33;50;40;40;40;50;50;40;40;40;50;40
A;Saudi Arabia;KSA;1000;1000;1000;1000;1000;500;1000;1000;1000;2000;2000;1000;750;500;1000;1000;1000;500;1500;1000;2000;1000;1000;1000
A;Uruguay;URU;28;25;25;25;25;25;28;25;31;28;28;28;18;30;28;28;28;28;30;31;25;28;25;28
B;Iran;IRN;500;750;750;500;500;500;500;350;450;750;750;500;300;300;500;500;500;500;500;450;500;500;750;500
B;Morocco;MAR;500;500;250;300;400;500;500;500;300;500;500;400;125;150;500;500;400;400;500;300;500;400;400;500
B;Portugal;POR;25;22;25;25;25;22;25;22;27;25;25;25;20;22;25;25;25;22;25;27;25;25;25;25
B;Spain;ESP;6;5.5;6;6;6;5.5;5;5.5;6;6.5;6.5;6;4.5;6;6;6;6;6.5;6.2;6;6;6;6.5;6
C;Australia;AUS;300;1000;500;500;400;500;300;450;400;750;750;500;200;300;300;300;300;300;500;400;500;300;1000;300
C;Denmark;DEN;100;100;80;100;80;80;100;80;100;125;125;80;50;110;100;100;100;100;100;100;100;100;100;100
C;France;FRA;6.5;6;6;5.5;6;6.5;6.5;6.5;6.5;6.5;6.5;6;6.5;6.5;6.5;6;6;6;6.5;6.5;6;6;7;6.5
C;Peru;PER;150;200;150;200;150;150;150;150;150;200;200;200;150;150;150;200;200;150;200;150;200;200;150;200
D;Argentina;ARG;9;10;9;9;9.5;10;10;10;9;10;10;9;7.5;10;9;9;8.5;9;9.5;9;9;8.5;10;9
D;Croatia;CRO;33;33;33;28;33;33;33;33;30;40;40;33;25;33;33;33;33;33;30;30;33;33;35;33
D;Iceland;ISL;200;250;150;250;200;300;200;275;200;250;250;200;200;250;200;200;200;200;200;200;250;200;250;200
D;Nigeria;NGA;200;250;150;150;200;250;150;250;200;250;250;150;125;250;200;200;200;200;200;200;200;200;300;200
E;Brazil;BRA;4;4;4;4;4;4;4;4;4;4.5;4.5;4;4.5;4;4.5;4;4;4;4;4;4;4;4.5;4.5
E;Costa Rica;CRC;500;1000;250;300;300;500;400;300;450;750;750;500;200;500;500;300;400;400;500;450;500;400;750;500
E;Serbia;SRB;150;150;150;150;150;100;150;100;100;200;200;150;66;150;150;150;149.75;200;150;100;200;149.75;150;200
E;Switzerland;SUI;125;150;100;100;100;100;80;100;100;150;150;80;50;100;100;100;100;100;100;100;100;100;150;100
F;Germany;GER;4.5;5;4.5;4.5;4.5;5;5;5;4.5;5;5;4.5;5;5;5;4.5;4.5;5;5;4.5;5;4.5;5;4.5
F;Mexico;MEX;100;80;80;100;100;100;80;100;100;100;100;100;50;100;100;100;100;100;100;100;100;100;150;100
F;South Korea;KOR;750;250;250;400;400;500;500;500;600;750;750;500;300;250;500;500;400;500;750;600;500;400;750;750
F;Sweden;SWE;150;150;80;150;125;150;100;150;100;150;150;150;80;200;125;125;150;150;150;100;150;150;300;150
G;Belgium;BEL;11;10;10;11;11;10;11;10;11;11;11;11;11;10;11;11;11;11;11;11;10;11;11;11
G;England;ENG;16;16;14;16;16;16;16;16;18;18;18;16;16;16;16;16;14.75;18;18;18;16;16;20;18
G;Panama;PAN;1000;1000;1000;1000;1000;500;1000;500;1000;2000;2000;1000;750;500;1000;1000;1000;1000;1500;1000;2000;1000;1000;1000
G;Tunisia;TUN;750;1000;500;750;500;500;500;500;450;1000;1000;500;400;500;750;750;750;750;750;450;1000;750;1000;750
H;Colombia;COL;40;40;33;33;33;40;33;40;40;40;40;40;40;45;40;40;33;40;40;40;40;33;50;40
H;Japan;JPN;300;250;150;250;200;300;250;300;300;300;300;200;150;250;300;200;250;300;300;300;200;250;500;300
H;Poland;POL;66;66;40;50;50;66;40;66;70;80;80;50;33;85;66;66;50;66;60;70;66;50;80;66
H;Senegal;SEN;200;150;125;150;150;200;150;175;150;200;200;150;66;200;150;150;200;150;150;150;200;200;200;200
