round;team1;team2;n;p
RoundOf16;COL;BEL;4;0.000040
RoundOf16;DEN;ARG;2;0.000020
RoundOf16;JPN;BEL;9;0.000090
RoundOf16;CRC;SWE;1;0.000010
RoundOf16;ESP;RUS;89800;0.898000
RoundOf16;GER;CRC;5505;0.055050
RoundOf16;ARG;AUS;5154;0.051540
RoundOf16;COL;TUN;31;0.000310
RoundOf16;ARG;DEN;52532;0.525320
RoundOf16;SEN;TUN;1;0.000010
RoundOf16;BRA;GER;2;0.000020
RoundOf16;JPN;PAN;3;0.000030
RoundOf16;FRA;CRO;86513;0.865130
RoundOf16;COL;PAN;99;0.000990
RoundOf16;AUS;NGA;1;0.000010
RoundOf16;ARG;FRA;2;0.000020
RoundOf16;KSA;IRN;3;0.000030
RoundOf16;BRA;SWE;4956;0.049560
RoundOf16;PAN;JPN;4;0.000040
RoundOf16;FRA;ARG;1;0.000010
RoundOf16;BRA;MEX;94518;0.945180
RoundOf16;URU;MAR;527;0.005270
RoundOf16;KSA;POR;170;0.001700
RoundOf16;GER;BRA;2;0.000020
RoundOf16;ENG;JPN;1;0.000010
RoundOf16;ENG;COL;1;0.000010
RoundOf16;ESP;URU;812;0.008120
RoundOf16;POL;TUN;1;0.000010
RoundOf16;COL;ENG;82235;0.822350
RoundOf16;BEL;POL;46752;0.467520
RoundOf16;NGA;PER;2;0.000020
RoundOf16;PAN;COL;8;0.000080
RoundOf16;RUS;MAR;101;0.001010
RoundOf16;JPN;TUN;2;0.000020
RoundOf16;GER;SUI;74405;0.744050
RoundOf16;GER;SRB;20086;0.200860
RoundOf16;URU;IRN;3;0.000030
RoundOf16;NGA;AUS;1;0.000010
RoundOf16;DEN;NGA;3;0.000030
RoundOf16;BEL;SEN;583;0.005830
RoundOf16;BEL;JPN;35021;0.350210
RoundOf16;KOR;SRB;2;0.000020
RoundOf16;ARG;PER;42309;0.423090
RoundOf16;ENG;SEN;4;0.000040
RoundOf16;TUN;SEN;9;0.000090
RoundOf16;PAN;POL;4;0.000040
RoundOf16;ESP;KSA;4230;0.042300
RoundOf16;POL;ENG;17600;0.176000
RoundOf16;ENG;POL;2;0.000020
RoundOf16;TUN;COL;9;0.000090
RoundOf16;BRA;KOR;522;0.005220
RoundOf16;BEL;COL;17602;0.176020
RoundOf16;FRA;NGA;13261;0.132610
RoundOf16;KSA;MAR;579;0.005790
RoundOf16;CRC;KOR;1;0.000010
RoundOf16;JPN;ENG;15;0.000150
RoundOf16;EGY;POR;2;0.000020
RoundOf16;FRA;ISL;218;0.002180
RoundOf16;PER;NGA;1;0.000010
RoundOf16;URU;POR;98615;0.986150
RoundOf16;ESP;EGY;5158;0.051580
QuarterFinals;SUI;POL;126;0.001260
QuarterFinals;ISL;RUS;15;0.000150
QuarterFinals;FRA;POR;33113;0.331130
QuarterFinals;BRA;JPN;9765;0.097650
QuarterFinals;CRC;JPN;2;0.000020
QuarterFinals;BRA;BEL;44853;0.448530
QuarterFinals;ISL;MAR;46;0.000460
QuarterFinals;URU;ARG;172;0.001720
QuarterFinals;BRA;SEN;159;0.001590
QuarterFinals;BRA;TUN;8;0.000080
QuarterFinals;NGA;MAR;174;0.001740
QuarterFinals;MEX;JPN;3653;0.036530
QuarterFinals;ESP;ARG;43364;0.433640
QuarterFinals;SWE;ENG;1;0.000010
QuarterFinals;DEN;POR;1;0.000010
QuarterFinals;FRA;KSA;231;0.002310
QuarterFinals;CRO;KSA;1;0.000010
QuarterFinals;KOR;JPN;2;0.000020
QuarterFinals;SWE;JPN;13;0.000130
QuarterFinals;MEX;SEN;53;0.000530
QuarterFinals;KOR;BEL;66;0.000660
QuarterFinals;FRA;RUS;29;0.000290
QuarterFinals;SWE;BEL;821;0.008210
QuarterFinals;GER;JPN;7;0.000070
QuarterFinals;ESP;DEN;12572;0.125720
