code;group;logOdds;probabilities
EGY;A;-5.48736332631489;0.00412168372662853
RUS;A;-4.11551644227584;0.0160555249721723
KSA;A;-7.22234709760268;0.000729554183407817
URU;A;-3.56278216866235;0.0275777142490915
IRN;B;-6.54158838392864;0.0014401189842147
MAR;B;-6.26608288542735;0.00189605334772464
POR;B;-3.45791840171273;0.0305335910820596
ESP;B;-1.90037530834476;0.130066002763784
AUS;C;-6.35232351392521;0.00173966155994419
DEN;C;-4.85232101823398;0.00774970186730458
FRA;C;-1.97501830786344;0.121850891755132
PER;C;-5.44731629837384;0.00428937220322603
ARG;D;-2.42047209307743;0.081624859315733
CRO;D;-3.76412385665394;0.0226624248022638
ISL;D;-5.68766216328466;0.00337606671203735
NGA;D;-5.60911757291548;0.00365092332681087
BRA;E;-1.44789729661291;0.190325385065359
CRC;E;-6.40434083603;0.0016516279692767
SRB;E;-5.27213402774855;0.00510643614185698
SUI;E;-4.9352765210957;0.00713716757092347
GER;F;-1.63583981082164;0.163031935403325
MEX;F;-4.86538847607192;0.00764986140916685
KOR;F;-6.49459957939177;0.00150929893343045
SWE;F;-5.22883469771735;0.00533119345721172
BEL;G;-2.58699230206758;0.0699802800052892
ENG;G;-3.05556497901153;0.0449778245943878
PAN;G;-7.22234709760268;0.000729554183407818
TUN;G;-6.80215044663519;0.00111014880718742
COL;H;-3.93938949160889;0.0190886252711829
JPN;H;-5.86088545018075;0.00284062801153444
POL;H;-4.39017887648872;0.0122466707354033
SEN;H;-5.39950491079466;0.00449848975201582
